,roc2 - RSI4,RSI2 % atr15,lag_ema21_2 - RSI4,lag_ema21_3 - RSI4,Adj Close % decaylinear9,lag_ema21_4 - RSI4,lag_ema21_5 - RSI4,lag_ema21_6 - RSI4,lag_9 - RSI4,lag_ema21_7 - RSI4,lag_ema21_8 - RSI4,lag_ema21_9 - RSI4,lag_ema21_10 - RSI4,atr9 - RSI4,Target
14,-43.1931143156879,0.1665849656394016,-43.90015502730219,-43.8930104986183,0.0,-43.886098012834296,-43.8830572951567,-43.87967715480432,-43.78442387061988,-43.876383554549925,-43.86862145930793,-43.85820561168001,-43.84656832616468,-42.02064893183284,0
15,-35.28522483412467,0.1143859703283878,-34.1986335410717,-34.19175065276954,12.234405517578123,-34.188722954661046,-34.18535728719813,-34.18207778929082,-34.07200679735116,-34.174348929339324,-34.16397767968539,-34.15239022202614,-34.14285812405764,-32.341160211261894,0
16,-23.984024806595905,0.2240579072911241,-19.64211778203736,-19.63880241074084,0.0,-19.635571921291515,-19.62795856057768,-19.617742297744066,-19.574644594702733,-19.60632800178453,-19.59693835044536,-19.5882547510232,-19.581552173700366,-17.81373293275698,1
17,-53.64634553934272,0.331453293448976,-57.0360809549936,-57.02854120100511,0.0,-57.01842371001231,-57.007119768596496,-56.997820897336354,-56.99275536113875,-56.98922125181336,-56.98258347567186,-56.98063131335302,-56.98752203048079,-55.20046582407028,1
18,-48.10961896269203,1.3872605531822746,-51.20497871971009,-51.19489433894576,0.0,-51.1836273905041,-51.17435895047954,-51.165787447924814,-51.26059497797192,-51.1591713943907,-51.15722562066568,-51.1640937874182,-51.170684141918215,-49.39185139595639,0
19,-49.8672592535056,0.6933434136248997,-48.9738049030039,-48.962573768258224,0.0,-48.95333478936903,-48.94479053262875,-48.93819550921925,-49.04236192658533,-48.93625592042966,-48.94310225567765,-48.949671661741306,-48.956198171110096,-47.17259927284333,0
20,-26.201186841094568,0.6787269506796223,-20.81636541549955,-20.807195132955552,11.377554893493652,-20.798714406960123,-20.79216842078841,-20.790243253793985,-20.94304614803378,-20.79703868317725,-20.80355924248066,-20.810037224047203,-20.819793705838205,-19.031717975935784,0
21,-22.374540382828258,0.1027420874767783,-13.738813729487106,-13.730416784697349,10.96237850189209,-13.723935466410683,-13.722029318166772,-13.728757615412162,-13.930492982776537,-13.7352137580229,-13.741627743522804,-13.751287840899543,-13.75978027450207,-11.9733800979496,0
22,-16.65821630211508,0.473855399100018,-10.81794178583298,-10.811531224109794,10.715041160583496,-10.809645885289717,-10.816300729701888,-10.82268639059205,-11.024398804207824,-10.829030354600633,-10.83858499267681,-10.846984714366313,-10.85244248097101,-9.065538747904078,0
23,-24.80858185034801,1.762420593991933,-23.907628993604803,-23.90576043549456,0.0,-23.912356047575702,-23.9186848720387,-23.92497237074878,-24.082049929558277,-23.93444196649333,-23.942766925338677,-23.94817611436316,-23.951530485565065,-22.15217365550645,1
